area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970.0,2.0,0.0,33.0
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459.0,2.0,1.0,94.82
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270.0,2.0,1.0,50.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670.0,3.0,1.0,99.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010.0,3.0,2.0,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500.0,2.0,2.0,185.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845.0,2.0,1.0,55.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700.0,5.0,3.0,650.0
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160.0,2.0,2.0,44.0
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140.0,2.0,3.0,43.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358.0,2.0,1.0,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569.0,3.0,1.0,101.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089.0,3.0,2.0,140.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511.0,3.0,3.0,205.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660.0,2.0,2.0,105.0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326.0,2.0,2.0,78.0
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499.0,5.0,2.0,102.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708.0,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060.0,2.0,2.0,58.06
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000.0,2.0,2.0,70.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296.0,2.0,3.0,80.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894.0,4.0,1.0,245.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502.0,3.0,3.0,138.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650.0,1.0,1.0,17.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007.0,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200.0,2.0,2.0,50.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,229.0
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260.0,2.0,2.0,66.78
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530.0,2.0,1.0,45.9
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540.0,2.0,3.0,64.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061.0,3.0,1.0,200.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,5611.5,4.0,0.0,477.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282.0,2.0,2.0,68.52
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500.0,2.0,1.0,78.0
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870.0,3.0,3.0,110.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880.0,1.0,1.0,16.5
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360.0,2.0,1.0,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1073.5,2.0,0.0,54.005
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260.0,2.0,2.0,85.05
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050.0,5.0,1.0,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167.0,2.0,1.0,43.76
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612.0,3.0,3.0,46.74
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710.0,4.0,2.0,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125.0,2.0,2.0,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020.0,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735.0,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050.0,3.0,1.0,145.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063.0,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904.0,3.0,1.0,150.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000.0,3.0,1.0,175.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1242.5,2.0,0.0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060.0,2.0,1.0,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450.0,1.0,1.0,11.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152.0,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550.0,3.0,3.0,65.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705.0,1.0,2.0,67.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242.0,2.0,3.0,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700.0,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144.0,3.0,2.0,145.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,52.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,46.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1277.5,2.0,0.0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550.0,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327.0,2.0,2.0,98.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400.0,3.0,2.0,56.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225.0,2.0,2.0,47.6
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282.0,2.0,2.0,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359.0,2.0,1.0,87.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475.0,3.0,2.0,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589.0,1.0,1.0,27.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475.0,2.0,3.0,90.0
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,44.28
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405.0,4.0,2.0,260.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290.0,2.0,2.0,110.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933.0,3.0,1.0,129.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644.0,3.0,3.0,84.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285.0,2.0,3.0,72.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577.0,3.0,1.0,70.0
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050.0,3.0,2.0,280.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420.0,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800.0,1.0,1.0,20.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270.0,2.0,2.0,93.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045.0,3.0,2.0,170.0
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900.0,3.0,2.0,300.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500.0,3.0,2.0,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,2.0,43.9
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162.0,2.0,1.0,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035.0,2.0,2.0,49.2
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600.0,4.0,0.0,52.8
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866.0,2.0,2.0,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700.0,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804.0,3.0,2.0,120.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868.0,3.0,2.0,131.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026.0,3.0,2.0,132.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210.0,2.0,1.0,80.9
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111.0,4.0,2.0,250.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,91.45
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252.0,3.0,3.0,55.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861.0,2.0,1.0,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420.0,2.0,1.0,100.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490.0,3.0,1.0,78.8
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425.0,2.0,2.0,94.0
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084.0,2.0,2.0,50.0
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015.0,2.0,2.0,25.88
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017.0,2.0,1.0,51.25
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349.0,2.0,1.0,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417.0,2.0,3.0,75.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000.0,4.0,0.0,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863.0,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010.0,2.0,1.0,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450.0,3.0,0.0,100.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847.0,3.0,2.0,105.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100.0,2.0,3.0,45.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664.0,4.0,3.0,65.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850.0,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438.0,2.0,3.0,100.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560.0,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,67.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113.0,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385.0,2.0,1.0,83.09
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,415.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192.0,2.0,2.0,74.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135.0,3.0,2.0,215.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,230.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325.0,2.0,2.0,76.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,1.0,150.0
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260.0,3.0,1.0,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800.0,3.0,0.0,150.0
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11.0,3.0,2.0,74.0
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100.0,2.0,1.0,43.25
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508.0,2.0,1.0,77.0
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388.0,2.0,3.0,57.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630.0,1.0,1.0,28.35
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252.0,5.0,3.0,335.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308.0,2.0,2.0,89.04
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075.0,2.0,1.0,52.0
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530.0,1.0,0.0,11.66
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930.0,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483.0,5.0,2.0,212.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050.0,2.0,1.0,65.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,275.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600.0,2.0,1.0,108.0
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935.0,3.0,2.0,110.0
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451.0,1.0,0.0,29.9
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800.0,3.0,2.0,95.0
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400.0,3.0,0.0,77.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160.0,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,40.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826.0,3.0,2.0,121.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245.0,2.0,1.0,94.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145.0,2.0,2.0,45.79
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825.0,2.0,1.0,33.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693.0,3.0,3.0,108.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050.0,2.0,1.0,32.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656.0,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208.0,3.0,1.0,45.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910.0,3.0,2.0,161.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252.0,4.0,1.0,230.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175.0,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,410.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750.0,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,64.5
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991.0,4.0,2.0,103.0
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060.0,2.0,1.0,26.5
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105.0,2.0,1.0,75.0
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985.0,2.0,2.0,67.0
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590.0,3.0,2.0,79.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933.0,3.0,2.0,140.0
